title,company,location,salary_avg,salary_min,salary_max,is_remote,seniority,category,skills,post_date,scraped_date
Data Analyst (Remote),Quality Talent Group,"Cleveland Heights, Cuyahoga County",88651.52,88651.52,88651.52,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Campbell, Santa Clara County",96629.8,96629.8,96629.8,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Martinez, Columbia County",90862.6,90862.6,90862.6,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Aurora, Kane County",90108.57,90108.57,90108.57,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Fleming Island, Clay County",95853.77,95853.77,95853.77,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Hamilton, Butler County",87553.3,87553.3,87553.3,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Forest Park, Clayton County",90745.78,90745.78,90745.78,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Athens, Henderson County",89115.87,89115.87,89115.87,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Killeen, Bell County",89811.81,89811.81,89811.81,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Berkeley, Alameda County",94228.4,94228.4,94228.4,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Lemon Grove, San Diego County",98341.14,98341.14,98341.14,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Grand Rapids, Kent County",95203.3,95203.3,95203.3,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Herkimer, Herkimer County",104523.09,104523.09,104523.09,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Senior Data Analyst,DCS Corp,"Las Vegas, Clark County",95086.8,95086.8,95086.8,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Immokalee, Collier County",93655.03,93655.03,93655.03,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
IT Support Specialist,Akkodis,"Cincinnati, Greene County",71939.27,71939.27,71939.27,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,US,94839.38,94839.38,94839.38,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Engineer, Data",Holley Performance,"Bowling Green, Warren County",79712.63,79712.63,79712.63,0,Junior,IT Jobs,"['scala', 'r']",2025-12-20,2025-12-22 00:08:12
Jr. Customer Success Analyst (Data Focus),webfx.com,"Harrisburg, Dauphin County",34430.54,34430.54,34430.54,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Treasury Advisor / Technical Support,Akkodis,"Miami, Miami-Dade County",97162.71,97162.71,97162.71,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Registered Behavior Technician (RBT) - Behavioral Technician,Apollo Behavior,"Dacula, Gwinnett County",26950.04,26950.04,26950.04,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Director, Biz Experience Data Science",Meta,"International, King County",169313.44,169313.44,169313.44,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Manager, Privacy Engineering",Meta,"International, King County",124786.16,124786.16,124786.16,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Director, Biz Experience Data Science",Meta,"Bellevue, King County",216064.22,216064.22,216064.22,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Senior Corporate Analytics Developer,RxBenefits,"International, King County",91165.0,91165.0,91165.0,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Technical Data Analyst, Staff",Intermountain Health,"Madison, Dane County",98653.47,98653.47,98653.47,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Senior Corporate Analytics Developer,RxBenefits,"West Milwaukee, Milwaukee County",103594.23,103594.23,103594.23,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Central Monitoring, Manager",Parexel,"Tumwater, Thurston County",120039.11,120039.11,120039.11,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Central Monitoring, Manager",Parexel,"Madison, Dane County",120590.44,120590.44,120590.44,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Global Estimating Lead - Data Center Fit-Out,Oracle,"Tumwater, Thurston County",171545.97,171545.97,171545.97,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Global Estimating Lead - Data Center Fit-Out,Oracle,"Madison, Dane County",172334.36,172334.36,172334.36,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Advanced Practice Nurse Practitioner- Madison, WI",Molina Healthcare,"Madison, Dane County",87831.62,87831.62,87831.62,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Principal Data Engineer - CoreAI,Microsoft Corporation,"Redmond, King County",217880.55,217880.55,217880.55,0,Senior,Engineering Jobs,"['scala', 'r']",2025-12-20,2025-12-22 00:08:12
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Tumwater, Thurston County",97416.2,97416.2,97416.2,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Data Analyst-Richmond, VA (Hybrid)","Career Mentors, LLC","Richmond, Richmond County",101920.0,99840.0,104000.0,0,Senior,IT Jobs,"['sql', 'r']",2025-12-20,2025-12-22 00:08:12
"Technical Data Analyst, Staff",Intermountain Health,"Murray, Salt Lake County",106138.71,106138.71,106138.71,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Technical Data Analyst, Staff",Intermountain Health,"Bonnie, Utah County",99518.29,99518.29,99518.29,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"TigerGraph Engineer / Developer- Charlotte, NC","Career Mentors, LLC","Charlotte, Clinton County",138320.0,135200.0,141440.0,0,Senior,IT Jobs,"['sql', 'r']",2025-12-20,2025-12-22 00:08:12
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Madison, Dane County",97863.8,97863.8,97863.8,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Senior Corporate Analytics Developer,RxBenefits,"Bonnie, Utah County",86512.89,86512.89,86512.89,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Central Monitoring, Manager",Parexel,"Bonnie, Utah County",121647.79,121647.79,121647.79,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Data Engineer, Product Analytics",Meta,"Tumwater, Thurston County",133942.3,133942.3,133942.3,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
BI Analyst III,Datavant,"Tumwater, Thurston County",108220.14,108220.14,108220.14,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Pre Construction Manager,Cherry Talent Group,"Tomball, Harris County",84247.7,84247.7,84247.7,0,Junior,Trade & Construction Jobs,['r'],2025-12-20,2025-12-22 00:08:12
"Data Engineer, Product Analytics",Meta,"Madison, Dane County",134557.86,134557.86,134557.86,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Global Estimating Lead - Data Center Fit-Out,Oracle,"Bonnie, Utah County",173845.1,173845.1,173845.1,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
BI Analyst III,Datavant,"Madison, Dane County",108717.29,108717.29,108717.29,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Lead Application Development Engineer,Centene Corporation,"Tumwater, Thurston County",145421.0,145421.0,145421.0,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Analytics Engineer (Mid-Level or Senior),The Boeing Company,"International, King County",119719.23,119719.23,119719.23,0,Senior,Engineering Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Bonnie, Utah County",98721.7,98721.7,98721.7,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Data Engineer, Product Analytics",Meta,"Bonnie, Utah County",135737.56,135737.56,135737.56,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
BI Analyst III,Datavant,"Bonnie, Utah County",109670.54,109670.54,109670.54,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Data Scientist/Analyst (SME),BAE Systems Inc.,"Oak Hill, Fairfax County",198000.0,146670.0,249330.0,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Data Warehouse /Business Intelligence Technical Lead,1-800-PACK-RAT,"Wake Forest, Wake County",117500.0,110000.0,125000.0,0,Senior,IT Jobs,"['sql', 'r', 'azure']",2025-12-20,2025-12-22 00:08:16
Data Insights Analyst,"AARON BUILDERS, INC","Franklin, Oakland County",51672.0,46883.0,56461.0,0,Junior,IT Jobs,"['tableau', 'sql', 'python', 'r']",2025-12-20,2025-12-22 00:08:16
Data Insights Analyst,Brooksville,"Brooksville, Hernando County",69159.0,62749.0,75569.0,0,Junior,IT Jobs,"['tableau', 'looker', 'sql', 'python', 'r']",2025-12-20,2025-12-22 00:08:16
Software Developer,JANSON,"Fairfax, Fairfax County",134000.0,134000.0,134000.0,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Data Science and Analytics Analyst,Razorfish,"Miami, Miami-Dade County",82295.0,72390.0,92200.0,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,"Hill Air Force Base, Davis County",74713.53,74713.53,74713.53,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,US,89154.97,89154.97,89154.97,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,"Philadelphia, Philadelphia County",77407.48,77407.48,77407.48,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,"Battle Creek, Calhoun County",75407.67,75407.67,75407.67,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,"Fort Belvoir, Fairfax County",73707.86,73707.86,73707.86,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Program Analyst,Defense Logistics Agency,"Richmond, Richmond County",69012.25,69012.25,69012.25,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Data Architect (San Francisco),"Trilyon, Inc.","Mission District, San Francisco",156446.19,156446.19,156446.19,0,Junior,IT Jobs,"['scala', 'r']",2025-12-20,2025-12-22 00:08:16
Information Security Engineer - Black Lotus Labs Threat Researcher (Crimeware) (San Francisco),Lumen Technologies,"Mission District, San Francisco",126002.46,126002.46,126002.46,0,Junior,"Energy, Oil & Gas Jobs",['r'],2025-12-20,2025-12-22 00:08:16
"Senior Product Manager, Card Servicing (San Francisco)","Upgrade, Inc.","Mission District, San Francisco",103865.27,103865.27,103865.27,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Co-Founder & CEO - AI for Credit and Finance (San Francisco),FutureSight Inc.,"Mission District, San Francisco",139462.17,139462.17,139462.17,0,Junior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Industry Principal, Financial Services & Insurance (San Francisco)","Glean Technologies, Inc.","Mission District, San Francisco",249082.88,249082.88,249082.88,0,Senior,IT Jobs,"['scala', 'r']",2025-12-20,2025-12-22 00:08:16
"Customer Value Analyst, FP&A Data-Driven Finance & Growth (Mountain View)",Google,"Mountain View, Santa Clara County",128679.67,128679.67,128679.67,0,Senior,IT Jobs,"['sql', 'r']",2025-12-20,2025-12-22 00:08:16
Principal Data Analyst - Remote or Hybrid from DC or MN,UnitedHealth Group,"Eden Prairie, Hennepin County",97725.68,97725.68,97725.68,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Data Engineer,Trane Technologies,"Minneapolis, Hennepin County",266399.44,266399.44,266399.44,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Sr Data Analyst - Finance Capabilities (SAP Analytics Cloud),Target,"Brooklyn, Hennepin County",196454.22,196454.22,196454.22,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Technical Data Analyst, Staff",Intermountain Health,"Cedar, Cole County",102972.3,102972.3,102972.3,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Technical Data Analyst, Staff",Intermountain Health,"Trenton, Mercer County",101942.44,101942.44,101942.44,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Manager, Data Science & Sales Analytics (Remote)",Stryker,"Ramsey, Bergen County",181290.47,181290.47,181290.47,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Corporate Analytics Developer,RxBenefits,"Newark, Essex County",91625.3,91625.3,91625.3,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Technical Data Analyst, Staff",Intermountain Health,"Saint Paul, Ramsey County",94783.31,94783.31,94783.31,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Corporate Analytics Developer,RxBenefits,"Minneapolis, Hennepin County",91888.7,91888.7,91888.7,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Central Monitoring, Manager",Parexel,"Saint Paul, Ramsey County",115859.7,115859.7,115859.7,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Global Estimating Lead - Data Center Fit-Out,Oracle,"Saint Paul, Ramsey County",165573.56,165573.56,165573.56,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Technical Data Analyst, Staff",Intermountain Health,"Jackson, Hinds County",88632.5,88632.5,88632.5,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Corporate Analytics Developer,RxBenefits,"Jackson, Hinds County",77049.62,77049.62,77049.62,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Central Monitoring, Manager",Parexel,"Jackson, Hinds County",108341.27,108341.27,108341.27,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Global Estimating Lead - Data Center Fit-Out,Oracle,"Jackson, Hinds County",154829.22,154829.22,154829.22,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Central Monitoring, Manager",Parexel,"Ny State Campus, Albany County",132672.52,132672.52,132672.52,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Global Estimating Lead - Data Center Fit-Out,Oracle,"Ny State Campus, Albany County",189600.72,189600.72,189600.72,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Corporate Analytics Developer,RxBenefits,"Kansas City, Jackson County",125865.55,125865.55,125865.55,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Central Monitoring, Manager",Parexel,"Cedar, Cole County",125869.87,125869.87,125869.87,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Central Monitoring, Manager",Parexel,"Trenton, Mercer County",124610.99,124610.99,124610.99,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Global Estimating Lead - Data Center Fit-Out,Oracle,"Cedar, Cole County",179878.97,179878.97,179878.97,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Global Estimating Lead - Data Center Fit-Out,Oracle,"Trenton, Mercer County",178079.75,178079.75,178079.75,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Trenton, Mercer County",101126.55,101126.55,101126.55,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Jackson, Hinds County",87923.05,87923.05,87923.05,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Saint Paul, Ramsey County",94024.54,94024.54,94024.54,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:16
"Data Engineer, Product Analytics",Meta,"Jackson, Hinds County",120889.82,120889.82,120889.82,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Jackson, Hinds County",97674.06,97674.06,97674.06,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Charleston, Kanawha County",99693.83,99693.83,99693.83,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Charleston, Kanawha County",86665.33,86665.33,86665.33,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Charleston, Kanawha County",121862.14,121862.14,121862.14,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Pierre, Hughes County",145715.86,145715.86,145715.86,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Data Integration Support Analyst,U.S. Bank,"Saint Bernard, Hamilton County",105914.04,105914.04,105914.04,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Oklahoma City, Oklahoma County",95186.05,95186.05,95186.05,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Cedar, Cole County",102148.17,102148.17,102148.17,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Oklahoma City, Oklahoma County",82746.73,82746.73,82746.73,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Oklahoma City, Oklahoma County",116352.22,116352.22,116352.22,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Concord, Merrimack County",142970.52,142970.52,142970.52,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Manchester, Hillsborough County",94168.66,94168.66,94168.66,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Concord, Merrimack County",174762.34,174762.34,174762.34,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Ny State Campus, Albany County",107668.88,107668.88,107668.88,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Oklahoma City, Oklahoma County",166277.25,166277.25,166277.25,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Carson Mall, Carson City",101825.55,101825.55,101825.55,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"State House, Lancaster County",119776.89,119776.89,119776.89,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Concord, Merrimack County",249750.55,249750.55,249750.55,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Benson, Douglas County",82046.74,82046.74,82046.74,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Data Engineer, Product Analytics",Meta,"Trenton, Mercer County",139043.84,139043.84,139043.84,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Paradise, Clark County",103768.55,103768.55,103768.55,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Carson Mall, Carson City",124467.99,124467.99,124467.99,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"State House, Lancaster County",146410.95,146410.95,146410.95,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Cedar, Cole County",113476.8,113476.8,113476.8,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Trenton, Mercer County",112341.77,112341.77,112341.77,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Saint Paul, Ramsey County",104452.23,104452.23,104452.23,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Charleston, Kanawha County",174151.4,174151.4,174151.4,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Charleston, Kanawha County",98895.75,98895.75,98895.75,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Montpelier, Washington County",94719.16,94719.16,94719.16,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Winooski, Chittenden County",121859.93,121859.93,121859.93,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Montpelier, Washington County",115781.5,115781.5,115781.5,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Data Engineer, Product Analytics",Meta,"Charleston, Kanawha County",135976.61,135976.61,135976.61,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Charleston, Kanawha County",109863.78,109863.78,109863.78,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Montpelier, Washington County",165461.66,165461.66,165461.66,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Montpelier, Washington County",93961.16,93961.16,93961.16,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Data Engineer, Product Analytics",Meta,"Montpelier, Washington County",129191.93,129191.93,129191.93,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Montpelier, Washington County",104381.73,104381.73,104381.73,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Sioux Falls, Minnehaha County",124926.31,124926.31,124926.31,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Pierre, Hughes County",178117.8,178117.8,178117.8,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Corporate Analytics Developer,RxBenefits,"Providence, Providence County",86475.36,86475.36,86475.36,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Central Monitoring, Manager",Parexel,"Providence, Providence County",121595.13,121595.13,121595.13,0,Junior,Scientific & QA Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Pierre, Hughes County",254545.56,254545.56,254545.56,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Global Estimating Lead - Data Center Fit-Out,Oracle,"Providence, Providence County",173769.83,173769.83,173769.83,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Pierre, Hughes County",144549.48,144549.48,144549.48,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Providence, Providence County",98679.06,98679.06,98679.06,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Data Engineer, Product Analytics",Meta,"Pierre, Hughes County",198747.98,198747.98,198747.98,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Pierre, Hughes County",160580.6,160580.6,160580.6,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Data Engineer, Product Analytics",Meta,"Providence, Providence County",135678.55,135678.55,135678.55,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
BI Analyst III,Datavant,"Providence, Providence County",109622.96,109622.96,109622.96,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:19
"Technical Data Analyst, Staff",Intermountain Health,"Grandview Heights, Franklin County",119563.25,119563.25,119563.25,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Oklahoma City, Oklahoma County",94424.15,94424.15,94424.15,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Concord, Merrimack County",141826.27,141826.27,141826.27,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Global Estimating Lead - Data Center Fit-Out,Oracle,"Carson Mall, Carson City",177875.06,177875.06,177875.06,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Global Estimating Lead - Data Center Fit-Out,Oracle,"State House, Lancaster County",209234.16,209234.16,209234.16,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"Carson Mall, Carson City",101010.5,101010.5,101010.5,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
"Data Engineer, Product Analytics",Meta,"Oklahoma City, Oklahoma County",129828.26,129828.26,129828.26,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Senior Permitting Data Analyst - Mass Markets FP&A,Lumen,"State House, Lancaster County",118818.27,118818.27,118818.27,0,Senior,Accounting & Finance Jobs,['r'],2025-12-20,2025-12-22 00:08:23
BI Analyst III,Datavant,"Oklahoma City, Oklahoma County",104896.16,104896.16,104896.16,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:23
Data Engineer,Kiewit,"Benson, Douglas County",76861.59,76861.59,76861.59,0,Junior,IT Jobs,"['scala', 'r']",2025-12-20,2025-12-22 00:08:23
