title,company_standardized,location_standardized,source,seniority_level,job_type,work_arrangement,salary_min_parsed,salary_max_parsed,salary_midpoint,salary_range,is_remote,has_salary,post_date_str,description_length,title_word_count,required_skills,url,scraped_at_str,source_id,company,location,description,post_date,scraped_at,salary,salary_min,salary_max,contract_type,category,job_hash
"Data Scientist, Senior",Intermountain Health,"Jackson, Hinds County",adzuna,Senior,Full-time,On-site,137734.1,137734.1,137734.1,"$137,734-$137,734",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550623321?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=846A545C54E0AFDB64A0F834114C61CE38D26CDD,2025-12-21 23:42:54,5550623321,Intermountain Health,"Jackson, Hinds County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$137,734 - $137,734",137734.1,137734.1,Full-time,IT Jobs,68a3fa30aa328756f6e7cced414d9baf
Data Scientist,Western Digital,"Oklahoma City, Oklahoma County",adzuna,Mid-level,Full-time,On-site,111937.31,111937.31,111937.31,"$111,937-$111,937",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550620106?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=9E3298993E059C0AAEC61B5061189EDBCD537BCC,2025-12-21 23:42:54,5550620106,Western Digital,"Oklahoma City, Oklahoma County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$111,937 - $111,937",111937.31,111937.31,Full-time,HR & Recruitment Jobs,377681671b9d9307732b51d04cfbde75
AI/ML Platform Engineer,Otsuka America Pharmaceutical,"Princeton, Mercer County",adzuna,Mid-level,Full-time,On-site,157597.89,157597.89,157597.89,"$157,598-$157,598",False,True,2025-12-20,500,3,"scala, r",https://www.adzuna.com/land/ad/5550619662?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=290F4ADCEB369B666FE9ED6BA49016FD046DAF98,2025-12-21 23:42:54,5550619662,Otsuka America Pharmaceutical Inc.,"Princeton, Mercer County","We are looking for a hands-on AI/ML Platform Engineer to support the implementation and operation of scalable platforms for Generative AI, LLMOps, and MLOps in a pharmaceutical environment. This role involves close collaboration with data scientists, engineers, and business partners to operationalize AI workflows, integrate various technologies including Cloud services, build reusable infrastructure components and promote adoption of standards and best practices. You will work with tools like D…",2025-12-20,2025-12-21T23:42:54.852860,"$157,598 - $157,598",157597.89,157597.89,Full-time,IT Jobs,a6a93f57c3e60bf26e6d57501111f274
"Lead Machine Learning Engineer - Agentic AI, Vice President",Jpmorgan Chase,"Tyler Park, Hudson County",adzuna,Senior,Full-time,On-site,205677.77,205677.77,205677.77,"$205,678-$205,678",False,True,2025-12-20,500,9,"scala, r",https://www.adzuna.com/land/ad/5550619331?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=BDA94E8E63A86EE96E959B4B5DFFC74141414B9D,2025-12-21 23:42:54,5550619331,JPMorgan Chase,"Tyler Park, Hudson County","Are you passionate about building the next generation of AI solutions? Join us to lead and mentor a team of talented engineers, drive innovation in generative and agentic AI, and deliver impactful, scalable technology for Risk Technology. You'll collaborate with cross-functional partners and play a key role in shaping the future of Asset and Wealth Management Risk. As a Lead Machine Learning Engineer - Agentic AI in Risk Technology, you will lead a specialized technical area, driving impact acr…",2025-12-20,2025-12-21T23:42:54.852860,"$205,678 - $205,678",205677.77,205677.77,Full-time,Engineering Jobs,36ca795a837582c9b2d2c79a8639f3f7
AI/ML Software Engineer,Ge Aerospace,"Jackson, Hinds County",adzuna,Mid-level,Full-time,On-site,104382.13,104382.13,104382.13,"$104,382-$104,382",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550618431?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=5A59FC9AD0C96854C45E8ED35190AF5A15E46082,2025-12-21 23:42:54,5550618431,GE Aerospace,"Jackson, Hinds County","Job Description Summary This role is a hybrid between an AI engineer, data scientist, and software developer, designed for someone who can operate across the full lifecycle of AI system development. You'll play a key role in defining, developing, and evolving software in an agile environment. You'll work across the stack, from crafting intuitive front-end interfaces to building robust back-end services, all while collaborating with a team of talented engineers. You will also have the opportunit…",2025-12-20,2025-12-21T23:42:54.852860,"$104,382 - $104,382",104382.13,104382.13,Full-time,IT Jobs,8de02b91300fa710ab8104903aa767e5
"Data Engineering Manager, Analytics (Monetization)",Meta,"Jackson, Hinds County",adzuna,Manager,Full-time,On-site,89642.9,89642.9,89642.9,"$89,643-$89,643",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550618383?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=E71BB8BF9B1D51FD19F0E8CAD4855E91A111306F,2025-12-21 23:42:54,5550618383,Meta,"Jackson, Hinds County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:42:54.852860,"$89,643 - $89,643",89642.9,89642.9,Full-time,IT Jobs,deadf3da54c78ffcf47f5edf3f9d01fb
"Data Scientist, Product Analytics",Meta,"Jackson, Hinds County",adzuna,Mid-level,Full-time,On-site,129087.0,129087.0,129087.0,"$129,087-$129,087",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550618399?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=99C7F492320E1D84A4A5EA184E0DE0CCE73FBFA4,2025-12-21 23:42:54,5550618399,Meta,"Jackson, Hinds County","Summary: As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array o…",2025-12-20,2025-12-21T23:42:54.852860,"$129,087 - $129,087",129087.0,129087.0,Full-time,IT Jobs,7b982b7da8ad0d559caeefe243f652b1
"Data Engineer, Product Analytics",Meta,"Jackson, Hinds County",adzuna,Mid-level,Full-time,On-site,120889.82,120889.82,120889.82,"$120,890-$120,890",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550618363?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=E38B9482F1418987755F13E42EE2B4EEEF1C3495,2025-12-21 23:42:54,5550618363,Meta,"Jackson, Hinds County","Summary: As a Data Engineer at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Reality Labs, Threads). Your technical skills and analytical mindset will be utilized designing and building some of the world's most extensive data sets, helping to craft experiences for billions of people and hundreds of millions of businesses worldwide.In this role, you will collaborate with s…",2025-12-20,2025-12-21T23:42:54.852860,"$120,890 - $120,890",120889.82,120889.82,Full-time,IT Jobs,671ace9a0ac445abf4daff3467a9dc91
"Data Engineering Manager, Analytics (Monetization)",Meta,"Saint Paul, Ramsey County",adzuna,Manager,Full-time,On-site,95863.74,95863.74,95863.74,"$95,864-$95,864",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550616287?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=DC5839195A510EF51A4B888DDA076ADCC36ED433,2025-12-21 23:42:54,5550616287,Meta,"Saint Paul, Ramsey County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:42:54.852860,"$95,864 - $95,864",95863.74,95863.74,Full-time,IT Jobs,85f55e0c83f2823fc94877709eb407b0
"Data Scientist, Product Analytics",Meta,"Saint Paul, Ramsey County",adzuna,Mid-level,Full-time,On-site,138045.1,138045.1,138045.1,"$138,045-$138,045",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550615882?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=D4D33D0F96D1CC4EB25D4B289B9F1251CD792FF3,2025-12-21 23:42:54,5550615882,Meta,"Saint Paul, Ramsey County","Summary: As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array o…",2025-12-20,2025-12-21T23:42:54.852860,"$138,045 - $138,045",138045.1,138045.1,Full-time,IT Jobs,7087f260787392f95025b4199d74da97
Data Scientist,Western Digital,"Charleston, Kanawha County",adzuna,Mid-level,Full-time,On-site,117238.27,117238.27,117238.27,"$117,238-$117,238",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550610758?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=306378CB952ABFF91A378A8704CE2AE03AADB6B2,2025-12-21 23:42:54,5550610758,Western Digital,"Charleston, Kanawha County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$117,238 - $117,238",117238.27,117238.27,Full-time,HR & Recruitment Jobs,14c540aed01b2434ea42662c536f78f9
"Data Scientist, Senior",Intermountain Health,"Charleston, Kanawha County",adzuna,Senior,Full-time,On-site,154923.02,154923.02,154923.02,"$154,923-$154,923",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550610413?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=FA27444F3052202555D81DCD07BB00B20BCED41A,2025-12-21 23:42:54,5550610413,Intermountain Health,"Charleston, Kanawha County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$154,923 - $154,923",154923.02,154923.02,Full-time,IT Jobs,6481b5def24e710344c0b675b72ce789
Data Scientist,Western Digital,"Grandview Heights, Franklin County",adzuna,Mid-level,Full-time,On-site,140604.52,140604.52,140604.52,"$140,605-$140,605",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550610392?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=DB4D6BF7F2F14651CFF83F675A5D02133E9E6F13,2025-12-21 23:42:54,5550610392,Western Digital,"Grandview Heights, Franklin County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$140,605 - $140,605",140604.52,140604.52,Full-time,HR & Recruitment Jobs,4888b6ac5af160c16cc7c71fa4e25fd8
Data Scientist,Western Digital,"Montpelier, Washington County",adzuna,Mid-level,Full-time,On-site,111388.25,111388.25,111388.25,"$111,388-$111,388",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550610345?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=AE779ED76777704DBDC7271E4F607B458D5FB66F,2025-12-21 23:42:54,5550610345,Western Digital,"Montpelier, Washington County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$111,388 - $111,388",111388.25,111388.25,Full-time,HR & Recruitment Jobs,9bbea992cfa422a5d1fb52acd6a3e548
Data Scientist,Western Digital,"Pierre, Hughes County",adzuna,Mid-level,Full-time,On-site,171359.25,171359.25,171359.25,"$171,359-$171,359",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550610269?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=9A226FBFF41EEFEBF0EE7BA1761FA68095BBC64E,2025-12-21 23:42:54,5550610269,Western Digital,"Pierre, Hughes County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$171,359 - $171,359",171359.25,171359.25,Full-time,HR & Recruitment Jobs,fbd60e27794dae6079209d7892752bde
Data Scientist,Western Digital,"Providence, Providence County",adzuna,Mid-level,Full-time,On-site,116981.18,116981.18,116981.18,"$116,981-$116,981",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550609837?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=792D73157E74BE32AD754A5797CADB3278AEF8A3,2025-12-21 23:42:54,5550609837,Western Digital,"Providence, Providence County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$116,981 - $116,981",116981.18,116981.18,Full-time,HR & Recruitment Jobs,bd88d8c0b993bdcd499b10e0f5dc05ec
"Data Scientist, Senior",Intermountain Health,"Pierre, Hughes County",adzuna,Senior,Full-time,On-site,226440.9,226440.9,226440.9,"$226,441-$226,441",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550609710?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=4EED4387164F64DF9C53DE30A805A1B3BA43C921,2025-12-21 23:42:54,5550609710,Intermountain Health,"Pierre, Hughes County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$226,441 - $226,441",226440.9,226440.9,Full-time,IT Jobs,0f2ad826cc286a7485998de059e5b81a
Data Scientist,Western Digital,"Concord, Merrimack County",adzuna,Mid-level,Full-time,On-site,168131.1,168131.1,168131.1,"$168,131-$168,131",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550608877?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=877DDD4C0D95F9F539B4C8B847D7F1F25762101C,2025-12-21 23:42:54,5550608877,Western Digital,"Concord, Merrimack County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$168,131 - $168,131",168131.1,168131.1,Full-time,HR & Recruitment Jobs,e7d486e0b36323620df76534b3b69b5a
"Data Scientist, Senior",Intermountain Health,"Oklahoma City, Oklahoma County",adzuna,Senior,Full-time,On-site,147917.98,147917.98,147917.98,"$147,918-$147,918",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550608740?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=CBCED3DA1CFE0A325BB403D7732295A4D4063B53,2025-12-21 23:42:54,5550608740,Intermountain Health,"Oklahoma City, Oklahoma County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$147,918 - $147,918",147917.98,147917.98,Full-time,IT Jobs,000125804be7d364cb8832106b098163
Data Scientist,Western Digital,"Carson Mall, Carson City",adzuna,Mid-level,Full-time,On-site,119745.14,119745.14,119745.14,"$119,745-$119,745",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550608485?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=10F06EBC3E92ACBA8F62AE8A312593B4589BBFBD,2025-12-21 23:42:54,5550608485,Western Digital,"Carson Mall, Carson City","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$119,745 - $119,745",119745.14,119745.14,Full-time,HR & Recruitment Jobs,7fc497ec2e80949a629f84e902757281
Data Scientist,Western Digital,"State House, Lancaster County",adzuna,Mid-level,Full-time,On-site,140855.75,140855.75,140855.75,"$140,856-$140,856",False,True,2025-12-20,500,2,r,https://www.adzuna.com/land/ad/5550608238?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=A52643EE210F7B507936069F1CCB81EF526D0735,2025-12-21 23:42:54,5550608238,Western Digital,"State House, Lancaster County","Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we've been doing just that-our technology helped people put a man on the moon and capture the first-ever picture of a black hole. We offer an expansive portfolio of technologies, HDDs, …",2025-12-20,2025-12-21T23:42:54.852860,"$140,856 - $140,856",140855.75,140855.75,Full-time,HR & Recruitment Jobs,55e21fd20fdceb7c298ecbec1e8abdf5
"Data Scientist, Senior",Intermountain Health,"Concord, Merrimack County",adzuna,Senior,Full-time,On-site,222174.89,222174.89,222174.89,"$222,175-$222,175",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550608174?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=96FEE21A249CC536F8EBAFBCDC208DD5317ACA24,2025-12-21 23:42:54,5550608174,Intermountain Health,"Concord, Merrimack County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$222,175 - $222,175",222174.89,222174.89,Full-time,IT Jobs,19c5dc2d11040e200224b0fd92bfdaaa
AI/ML Software Engineer,Ge Aerospace,"Kansas City, Jackson County",adzuna,Mid-level,Full-time,On-site,170515.14,170515.14,170515.14,"$170,515-$170,515",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550607414?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=992789273AE86BC46ADCE491ABB69F20868AFECB,2025-12-21 23:42:54,5550607414,GE Aerospace,"Kansas City, Jackson County","Job Description Summary This role is a hybrid between an AI engineer, data scientist, and software developer, designed for someone who can operate across the full lifecycle of AI system development. You'll play a key role in defining, developing, and evolving software in an agile environment. You'll work across the stack, from crafting intuitive front-end interfaces to building robust back-end services, all while collaborating with a team of talented engineers. You will also have the opportunit…",2025-12-20,2025-12-21T23:42:54.852860,"$170,515 - $170,515",170515.14,170515.14,Full-time,IT Jobs,cb144a0162a0af6a885c6dcf95f52b52
AI/ML Software Engineer,Ge Aerospace,"Wellston, Saint Louis County",adzuna,Mid-level,Full-time,On-site,117619.38,117619.38,117619.38,"$117,619-$117,619",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550607412?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=068D0FE9BFDDC75D14D9F4CDD5999FD73DA8824B,2025-12-21 23:42:54,5550607412,GE Aerospace,"Wellston, Saint Louis County","Job Description Summary This role is a hybrid between an AI engineer, data scientist, and software developer, designed for someone who can operate across the full lifecycle of AI system development. You'll play a key role in defining, developing, and evolving software in an agile environment. You'll work across the stack, from crafting intuitive front-end interfaces to building robust back-end services, all while collaborating with a team of talented engineers. You will also have the opportunit…",2025-12-20,2025-12-21T23:42:54.852860,"$117,619 - $117,619",117619.38,117619.38,Full-time,IT Jobs,661c87172f2ccdb392a79764f9b16657
"Data Scientist, Senior",Intermountain Health,"Carson Mall, Carson City",adzuna,Senior,Full-time,On-site,158235.69,158235.69,158235.69,"$158,236-$158,236",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550607325?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=9FDAA432CB460609EE14B241C9596365E3116DF1,2025-12-21 23:42:54,5550607325,Intermountain Health,"Carson Mall, Carson City","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$158,236 - $158,236",158235.69,158235.69,Full-time,IT Jobs,0df0f88f6d95914e78d3ef0b62e39f68
"Data Engineering Manager, Analytics (Monetization)",Meta,"Cedar, Cole County",adzuna,Manager,Full-time,On-site,104146.27,104146.27,104146.27,"$104,146-$104,146",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550607230?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=2BA6CD3FDA765D6D45C0BAA1033232869B1302B7,2025-12-21 23:42:54,5550607230,Meta,"Cedar, Cole County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:42:54.852860,"$104,146 - $104,146",104146.27,104146.27,Full-time,IT Jobs,b8e3c0a01c492e25dea3f59f05037bcd
"Data Scientist, Product Analytics",Meta,"Cedar, Cole County",adzuna,Mid-level,Full-time,On-site,149972.06,149972.06,149972.06,"$149,972-$149,972",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550607185?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=640510F1FBC661A1F5227F1392EF941BAB41677D,2025-12-21 23:42:54,5550607185,Meta,"Cedar, Cole County","Summary: As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array o…",2025-12-20,2025-12-21T23:42:54.852860,"$149,972 - $149,972",149972.06,149972.06,Full-time,IT Jobs,4600c8aa38448c358c8e5d584e72838e
"Data Scientist, Senior",Intermountain Health,"State House, Lancaster County",adzuna,Senior,Full-time,On-site,186132.03,186132.03,186132.03,"$186,132-$186,132",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550607127?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=C1356C19B827DE72FF060C4039F200A1C00FC11E,2025-12-21 23:42:54,5550607127,Intermountain Health,"State House, Lancaster County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:42:54.852860,"$186,132 - $186,132",186132.03,186132.03,Full-time,IT Jobs,b5024939e4cffbd05a6c00d37cb3b7c8
"Data Engineering Manager, Analytics (Monetization)",Meta,"Trenton, Mercer County",adzuna,Manager,Full-time,On-site,103104.57,103104.57,103104.57,"$103,105-$103,105",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550607009?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=B6D262B2C356E06614C132997F20C43283E0ABF9,2025-12-21 23:42:54,5550607009,Meta,"Trenton, Mercer County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:42:54.852860,"$103,105 - $103,105",103104.57,103104.57,Full-time,IT Jobs,468a3a8c2d16c431160fbb5354a72e03
Data Scientist (Technical Leadership),Meta,"Trenton, Mercer County",adzuna,Senior,Full-time,On-site,110371.22,110371.22,110371.22,"$110,371-$110,371",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550606978?se=yGk7q5je8BGf4pFloLhdwQ&utm_medium=api&utm_source=41102b43&v=23C70B7E75775D89D2CDDEF7DFF00E359D5CF9BC,2025-12-21 23:42:54,5550606978,Meta,"Trenton, Mercer County","Summary: We are seeking experienced Data Scientists to join our team and drive impact across various product areas. As a Data Scientist, you will collaborate with cross-functional partners to identify and solve complex problems using data and analysis. Your role will involve shaping product development, quantifying new opportunities, and ensuring products bring value to users and the company. You will guide teams using data-driven insights, develop hypotheses, and employ rigorous analytical app…",2025-12-20,2025-12-21T23:42:54.852860,"$110,371 - $110,371",110371.22,110371.22,Full-time,IT Jobs,f0d1021179639a2f374c55f959beeb0d
